,Job Title,Company Name,Salary From,Salary To,Region,Full Address,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
36,Преподаватель английского языка,Moonschool,100000.0,300000.0,Астана,"Астана, проспект Богенбай батыра, 56А",https://hh.ru/applicant/vacancy_response?vacancyId=109422164,https://hh.ru/vacancy/109422164,2024-10-28T07:38:25+0300,False,"Свободное владение английским языком. — Знание и использование в работе различных подходов к обучению. — Опыт преподавания (желательно, если нет - Научим). — ",Проведение групповых и индивидуальных занятий взрослым и детям на уровнях от Beginner до Upper. — Проведение занятий согласно программе и расписании. — 
37,Преподаватель Кадрового Делопроизводства,ПРОГРЕСС&CO,,,Алматы,"Алматы, проспект Абылай хана, 60",https://hh.ru/applicant/vacancy_response?vacancyId=109124709,https://hh.ru/vacancy/109124709,2024-10-23T10:16:54+0300,False,Иметь готовую программу обучения. Иметь раздаточный материал для учеников. Опыт работы в кадровой службе не менее 3-х лет. ,Проведение лекций и практических занятий по кадровому делопроизводству. Разработка учебных материалов и программ. Оценка знаний учеников учебного центра и предоставление...
38,Администратор учебного центра,UNICUM,200000.0,,Астана,"Нур-Султан (Астана), проспект Мангилик Ел, 41/3",https://hh.ru/applicant/vacancy_response?vacancyId=108211768,https://hh.ru/vacancy/108211768,2024-10-05T21:01:22+0300,False,"С опытом работы администратором в образовательном или учебном центре, что будет являться весомым преимуществом. Требования: Высокий интеллект, ответственность, энергичность (медлительный...","...замена <highlighttext>учителей</highlighttext> в случае болезни. Проведение вступительных экзаменов, заключение договоров. Вовремя принятые оплаты, проведенные вовремя мероприятия. Учет рабочих часов <highlighttext>учителей</highlighttext>..."
39,Учитель математики,Highvill,180000.0,300000.0,Астана,"Астана, улица Жумекена Нажимеденова, 4/1",https://hh.ru/applicant/vacancy_response?vacancyId=109075724,https://hh.ru/vacancy/109075724,2024-10-22T16:44:14+0300,False,Умение быстро принимать решения; организаторские способности; практицизм; развитая интуиция; любовь к детям; психологическая устойчивость; жизнерадостность; высокий уровень культуры; активная жизненная...,
40,Учитель физической культуры,AVVALU 1,200000.0,300000.0,Астана,"Астана, микрорайон Комсомольский-2, улица Тумар Ханым, 49",https://hh.ru/applicant/vacancy_response?vacancyId=109209784,https://hh.ru/vacancy/109209784,2024-10-24T11:19:59+0300,False,Опыт преподавания более 2-х лет. Высшее педагогическое образование. Категория предпочтительна.,"Осуществляет обучение и воспитание обучающихся с учётом специфики преподаваемого предмета. Преподавание на английском языке, русском и казахском яз."
41,Учитель английского языка,Нур стади,,350000.0,Астана,"Астана, ул. Желтоксан 17, Астана 010000",https://hh.ru/applicant/vacancy_response?vacancyId=109149069,https://hh.ru/vacancy/109149069,2024-10-23T15:18:39+0300,False,"Опыт работы Преподавания обязателен. Высшее образование. Наличие сертификатов IELTS, TOEFL, CELTA будет преимуществом.",Преподавание английского языка разным возрастным группам от уровня BEGINNER до advanced. Разработка и Активное участие во внутренних мероприятиях центра. 
42,Администратор салона красоты,Valdi,150000.0,250000.0,Алматы,"Алматы, улица Радостовца, 158",https://hh.ru/applicant/vacancy_response?vacancyId=107215530,https://hh.ru/vacancy/107215530,2024-10-08T12:38:17+0300,False,"Есть поставленный алгоритм работы. Есть порядок. Вам только нужно приходить и делать:). Уважающих себя, порядочных и ответственных людей. ",Заботливое и вовлеченное руководство.
43,Администратор,Табыс,250000.0,,Астана,"Астана, проспект Кабанбай Батыра, 48А",https://hh.ru/applicant/vacancy_response?vacancyId=108970494,https://hh.ru/vacancy/108970494,2024-10-21T14:26:42+0300,False,"Высшее или среднее профессиональное образование по специальностям, связанным с педагогикой. Разнообразные навык : <highlighttext>Преподаватель</highlighttext> должен владеть широким спектром навыков, таких как...",Отвечать на звонки. Работать на портале Даму бала.
44,Заведующий кафедрой (SDU University),Учреждение SDU University,,,Алматы,"Каскелен, проспект Абылай хана, 1/1",https://hh.ru/applicant/vacancy_response?vacancyId=109460706,https://hh.ru/vacancy/109460706,2024-10-28T12:57:11+0300,False,"PhD, доцент, профессор по социальным наукам (международные отношения или журналистика) (МВК)(Обязательно). Наличие научных статей. Приветствуется обучение или стажировка за...",Ведение работы кафедры. Распределение нагрузки профессорско-преподавательского состава. Набор новых <highlighttext>преподавателей</highlighttext>. Развитие образовательных программ. Проведение заседаний кафедры. Подготовка годового плана...
45,Помощник педагога,Академия развития личности MegaKids,160000.0,,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=105855619,https://hh.ru/vacancy/105855619,2024-10-21T09:31:58+0300,False,"Любовь к детям. Умение общаться с детьми. Грамотная речь. Улыбчивость, вежливость. Коммуникабельность, чистоплотность, аккуратность, ответственность.",Встреча и присмотр за детками. Помощь <highlighttext>педагогу</highlighttext> во время занятий. Помощь при подготовке к занятию. Подготовка творческих минуток. 
46,Администратор офлайн языковой школы,LINGUAKZ,80000.0,,Астана,"Астана, микрорайон Юго-Восток (правая сторона), улица Дауылпаз, 4",https://hh.ru/applicant/vacancy_response?vacancyId=107926558,https://hh.ru/vacancy/107926558,2024-09-30T12:00:55+0300,False,"Опыт работы от 1 года приветствуется (опыт работы в образовательных центрах будет преимуществом). - Активная жизненная позиция, позитивный настрой. - ","Предоставлять отчеты руководству. - Взаимодействовать с <highlighttext>преподавателями</highlighttext>, отделами продаж, маркетинга. - Вести расписание занятий (планируемых, проведенных). - Выполнять задачи по административно-хозяйственной части..."
47,Администратор филиала ( ул.Туркестан 14А),ДХС InDiGo,300000.0,350000.0,Астана,"Астана, улица Туркестан, 14А",https://hh.ru/applicant/vacancy_response?vacancyId=108228002,https://hh.ru/vacancy/108228002,2024-10-28T07:54:06+0300,False,Опыт работы от 1 года. Самостоятельность в принятии решений и высокий уровень ответственности. Высокие навыки коммуникации. Грамотная устная и письменная...,"Помогать в приеме и ведении документов учащихся (договора, заявления). Помогать <highlighttext>преподавателю</highlighttext> в уроке (по необходимости) и администратору в проведении мероприятий. "
48,Учитель продленки,MEDISAN,200000.0,,Астана,"Нур-Султан (Астана), улица Иманбаевой, 16",https://hh.ru/applicant/vacancy_response?vacancyId=108898063,https://hh.ru/vacancy/108898063,2024-10-19T20:26:33+0300,False,Педагогическое образование. Владение русским языком.,Проведение занятий с учащимися 1-4 классов. Помощь в выполнении домашних заданий. Подготовка к Сор и Соч.
49,Преподаватель английского языка,Зерделі,150000.0,500000.0,Астана,"Астана, проспект Кабанбай Батыра, 58А",https://hh.ru/applicant/vacancy_response?vacancyId=109456107,https://hh.ru/vacancy/109456107,2024-10-28T12:23:10+0300,False,"Отличное владение государственным и русским языками. Опыт работы с детьми. Опыт работы по подготовке НИШ, БИЛ и т.д. ",Преподавание английского языка для 2-9 классов. Обратная связь с родителем по успеваемости ребенка. Хорошая коммуникация с учениками. 
50,Преподаватель английского языка,NurTelc,250000.0,450000.0,Астана,"Астана, улица Динмухамеда Кунаева, 12/1",https://hh.ru/applicant/vacancy_response?vacancyId=108959153,https://hh.ru/vacancy/108959153,2024-10-21T12:17:36+0300,False,"Знание английского языка не ниже уровня Upper-Intermediate. Умение работать с подростками и со взрослыми. Коммуникабельность, креативность.",Профессионально и своевременно проводить уроки согласно методике и алгоритму для достижения поставленных целей. Проведение промежуточных тестирований.
51,Учитель,Самойлова,,,Караганда,"Караганда, улица Ермекова, 106/1",https://hh.ru/applicant/vacancy_response?vacancyId=109055616,https://hh.ru/vacancy/109055616,2024-10-22T12:33:23+0300,False,"Выработка навыков самостоятельного решения задач, логического мышления, грамотной речи и порядочности. Квалификация <highlighttext>педагога</highlighttext>. Креативность и гибкость мышления. Опыт работы с...","Нужны <highlighttext>педагоги</highlighttext> с опытом преподавания (и на русском языке, и на казахском - приветствуется) для проведения занятий со школьниками. "
52,Учитель начальных классов,BINOM EDUCATION,,,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=109352187,https://hh.ru/vacancy/109352187,2024-10-26T15:54:52+0300,False,Педагогическое образование.,"Работа с детьми. Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, в соответствии с Государственными общеобязательными стандартами образования."
53,Ассистент педагога в детский сад со знанием английского языка,ESSENTIALS,200000.0,,Алматы,Алматы,https://hh.ru/applicant/vacancy_response?vacancyId=108880001,https://hh.ru/vacancy/108880001,2024-10-18T22:54:30+0300,False,Уровень английского Intermediate и выше. Любовь к детям. Порядочность. Доброжелательность. Желание учиться. Яркая улыбка.,Работа с детьми. Проведение с детьми развивающих занятий по методике Монтессори. Поддержание порядка рабочей среды в соответствии со стандартами АМИ. 
54,Офис-менеджер,IQ STUDY,150000.0,250000.0,Алматы,"Алматы, 9-й микрорайон, 3А",https://hh.ru/applicant/vacancy_response?vacancyId=108664513,https://hh.ru/vacancy/108664513,2024-10-15T11:34:23+0300,False,Организаторские способности. Самостоятельность в принятии решений. Умение распределять обязанности между персоналом. Коммуникабельность. Гибкость. Терпеливость. Тактичность. Пунктуальность.,"...учет, хранение, архивирование документов. Организация приема посетителей и телефонных звонков, корреспонденция. Контроль работы сотрудников ресепшен, клининговой службы, <highlighttext>преподавателей</highlighttext> (10 человек)."
55,Преподаватель спец.дисциплин,Колледж Международной Академии Бизнеса,,,Алматы,"Алматы, улица Озтюрка, 5А",https://hh.ru/applicant/vacancy_response?vacancyId=109099329,https://hh.ru/vacancy/109099329,2024-10-23T06:40:14+0300,False,"Опыт работы в учебных заведениях обязателен от 3- лет. Высшее оконченное образование, наличие категорий желательно.",Проведение лекций по данному предмету. Ведение документации. Работа со студентами.
56,Администратор,Pianist,160000.0,200000.0,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108897938,https://hh.ru/vacancy/108897938,2024-10-19T19:34:19+0300,False,От Вас:,формирование расписания. - постановка учеников и <highlighttext>преподавателей</highlighttext> на занятия. - осуществление звонков. - ведение клиентской базы. - продажа курса обучения новым клиентам.
57,Администратор в школу английского языка для детей,ИНТЕР-А 2020,220000.0,300000.0,Астана,"Астана, улица Алихана Бокейхана, 27/2",https://hh.ru/applicant/vacancy_response?vacancyId=107983920,https://hh.ru/vacancy/107983920,2024-10-01T11:18:35+0300,False,Пунктуальность. Быстрая обучаемость. Умение быстро найти решение в нестандартных ситуациях. Грамотная письменная и устная речь на русском языке. ,"Составлять расписание <highlighttext>преподавателей</highlighttext> на неделю, фиксировать проведенные занятия. Подсчитывать заработную плату <highlighttext>преподавателей</highlighttext>. Консультировать клиентов по программам, ценам, записывать на пробные..."
